 () , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"BDVJJQ5","NVT","nVent Electric PLC",2820929,$203304353.03,0.38715,"Electrical Equipment","US","Common Stock"
,"B6Z1355","XPO","XPO Inc",1885314,$202595842.44,0.3858,"Ground Transportation","US","Common Stock"
,"BYVFC94","USFD","US Foods Holding Corp",3976702,$199829275.5,0.38053,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2728429","RNR","RenaissanceRe Holdings Ltd",900639,$197465100.75,0.37603,"Insurance","US","Common Stock"
,"B8DMK08","THC","Tenet Healthcare Corp",1709080,$191912593.2,0.36546,"Health Care Providers & Services","US","Common Stock"
,"2431846","JNPR","Juniper Networks Inc",5503243,$191622921.26,0.36491,"Communications Equipment","US","Common Stock"
,"BMZ5LZ5","CHK","Chesapeake Energy Corp",2123923,$190898199.24,0.36353,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2298386","EMN","Eastman Chemical Co",2005729,$189421046.76,0.36071,"Chemicals","US","Common Stock"
,"BNNF1C1","APA","Apa Corp",6022515,$189347871.6,0.36057,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2430412","UTHR","United Therapeutics Corp",804278,$188466463.74,0.3589,"Biotechnology","US","Common Stock"
,"B40SSC9","HII","Huntington Ingalls Industries Inc",676681,$187393269.33,0.35685,"Aerospace & Defense","US","Common Stock"
,"2726177","REG","Regency Centers Corp",3155471,$186866992.62,0.35585,"Retail REITs","US","REIT"
,"BFPK4S5","GLPI","Gaming and Leisure Properties Inc",4336811,$185311934.03,0.35289,"Specialized REITs","US","REIT"
,"2730082","RRX","Regal Rexnord Corp",1132996,$182831564.52,0.34817,"Electrical Equipment","US","Common Stock"
,"2166320","CPT","Camden Property Trust",1828412,$182256108.16,0.34707,"Residential REITs","US","REIT"
,"BFRT3W7","ALLE","Allegion plc",1496678,$181936177.68,0.34646,"Building Products","US","Common Stock"
,"BZBY209","ITT","ITT Inc",1403057,$181471392.38,0.34558,"Machinery","US","Common Stock"
,"BYVYD43","PFGC","Performance Food Group Co",2659372,$180518171.36,0.34376,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BKRTG56","CG","Carlyle Group Inc/The",4022888,$180225382.4,0.3432,"Capital Markets","US","Common Stock"
,"2487407","EWBC","East West Bancorp Inc",2409760,$179503022.4,0.34183,"Banks","US","Common Stock"
,"B72XK05","ALLY","Ally Financial Inc",4676465,$179342432.75,0.34152,"Consumer Finance","US","Common Stock"
,"2883890","TTEK","Tetra Tech Inc",913717,$177918974.24,0.33881,"Commercial Services & Supplies","US","Common Stock"
,"BNNTGJ5","BBWI","Bath & Body Works Inc",3862049,$175414265.58,0.33404,"Specialty Retail","US","Common Stock"
,"2849472","STLD","Steel Dynamics Inc",1313614,$170927453.68,0.3255,"Metals & Mining","US","Common Stock"
,"BFZNZF8","BJ","BJ's Wholesale Club Holdings Inc",2279769,$170253148.92,0.32421,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2797560","SCI","Service Corp International/US",2371424,$170054815.04,0.32383,"Diversified Consumer Services","US","Common Stock"
,"BDFG6S3","HUBB","Hubbell Inc",458198,$169771522.96,0.3233,"Electrical Equipment","US","Common Stock"
,"2427986","CCK","Crown Holdings Inc",2062163,$169241717.41,0.32229,"Containers & Packaging","US","Common Stock"
,"2923785","UHS","Universal Health Services Inc",990658,$168837842.94,0.32152,"Health Care Providers & Services","US","Common Stock"
,"2881407","TFX","Teleflex Inc",803101,$167647333.75,0.31925,"Health Care Equipment & Supplies","US","Common Stock"
,"2427599","FFIV","F5 Inc",1005327,$166190606.37,0.31648,"Communications Equipment","US","Common Stock"
,"2045247","ATR","AptarGroup Inc",1128409,$162919691.42,0.31025,"Containers & Packaging","US","Common Stock"
,"BDV82B8","LDOS","Leidos Holdings Inc",1160367,$162706660.74,0.30984,"Professional Services","US","Common Stock"
,"BPMQ7X2","NLY","Annaly Capital Management Inc",8543226,$160100055.24,0.30488,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"2692687","BRO","Brown & Brown Inc",1953613,$159297604.02,0.30335,"Insurance","US","Common Stock"
,"BFD2WR8","AR","Antero Resources Corp",4669207,$158799730.07,0.3024,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B3MC7D6","FBIN","Fortune Brands Innovations Inc",2155689,$157580865.9,0.30008,"Building Products","US","Common Stock"
,"BF09HX3","TPR","Tapestry Inc",3921613,$156550790.96,0.29812,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"2134532","AFG","American Financial Group Inc/OH",1214556,$155159529,0.29547,"Insurance","US","Common Stock"
,"2331430","AIZ","Assurant Inc",888449,$154945505.6,0.29506,"Insurance","US","Common Stock"
,"2416962","HSIC","Henry Schein Inc",2231980,$154631574.4,0.29446,"Health Care Providers & Services","US","Common Stock"
,"BLCF3J9","WTRG","Essential Utilities Inc",4201576,$153693650.08,0.29268,"Water Utilities","US","Common Stock"
,"BMTQB43","SOLV","Solventum Corp",2361443,$153517409.43,0.29234,"Health Care Equipment & Supplies","US","Common Stock"
,"2159267","CACI","CACI International Inc",380835,$153183262.05,0.29171,"Professional Services","US","Common Stock"
,"BCV7KT2","AAL","American Airlines Group Inc",11173120,$150948851.2,0.28745,"Passenger Airlines","US","Common Stock"
,"B1HHB18","KBR","KBR Inc",2308230,$149896456.2,0.28545,"Professional Services","US","Common Stock"
,"2019479","BXP","Boston Properties Inc",2414315,$149421955.35,0.28454,"Office REITs","US","REIT"
,"2276467","DCI","Donaldson Co Inc",2052981,$148225228.2,0.28226,"Machinery","US","Common Stock"
,"BN7P9B2","FRT","Federal Realty Investment Trust",1415108,$147411800.36,0.28072,"Retail REITs","US","REIT"
,"BMZQ9C1","DINO","HF Sinclair Corp",2715189,$147299003.25,0.2805,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2040640","JLL","Jones Lang LaSalle Inc",812951,$146900245.7,0.27974,"Real Estate Management & Development","US","Common Stock"
,"BMBPH06","APG","API Group Corp",3796137,$146417004.09,0.27882,"Construction & Engineering","US","Common Stock"
,"BYVZ186","CLF","Cleveland-Cliffs Inc",8516021,$143920754.9,0.27407,"Metals & Mining","US","Common Stock"
,"BYX2YJ7","EHC","Encompass Health Corp",1713461,$142868378.18,0.27206,"Health Care Providers & Services","US","Common Stock"
,"2048804","PNW","Pinnacle West Capital Corp",1936758,$142642226.7,0.27163,"Electric Utilities","US","Common Stock"
,"2341484","FHN","First Horizon Corp",9553472,$142537802.24,0.27143,"Banks","US","Common Stock"
,"BH3XG17","ARMK","Aramark",4486124,$141357767.24,0.26919,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2523334","RRC","Range Resources Corp",3930925,$141159516.75,0.26881,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2433842","UNM","Unum Group",2783135,$141104944.5,0.26871,"Insurance","US","Common Stock"
,"2828619","SWN","Southwestern Energy Co",18825797,$141005219.53,0.26852,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2414580","HAS","Hasbro Inc",2253145,$138117788.5,0.26302,"Leisure Products","US","Common Stock"
,"2969637","DKS","Dick's Sporting Goods Inc",684764,$137596478.16,0.26202,"Specialty Retail","US","Common Stock"
,"B9CGTC3","NCLH","Norwegian Cruise Line Holdings Ltd",7271012,$137567547.04,0.26197,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2404871","MKSI","MKS Instruments Inc",1142586,$135944882.28,0.25888,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B2Q8249","GPK","Graphic Packaging Holding Co",5231303,$135229182.55,0.25752,"Containers & Packaging","US","Common Stock"
,"2116228","CHRW","CH Robinson Worldwide Inc",1898130,$134767230,0.25664,"Air Freight & Logistics","US","Common Stock"
,"2849234","SF","Stifel Financial Corp",1669252,$133406619.84,0.25405,"Capital Markets","US","Common Stock"
,"2793610","SEIC","SEI Investments Co",2020659,$133262461.05,0.25377,"Capital Markets","US","Common Stock"
,"2416973","WCC","WESCO International Inc",870842,$133021115.5,0.25331,"Trading Companies & Distributors","US","Common Stock"
,"BCZWJ63","MUSA","Murphy USA Inc",320161,$132489025.02,0.2523,"Specialty Retail","US","Common Stock"
,"2818461","AYI","Acuity Brands Inc",526638,$130764215.4,0.24901,"Electrical Equipment","US","Common Stock"
,"2351449","FCN","FTI Consulting Inc",607233,$129844632.39,0.24726,"Professional Services","US","Common Stock"
,"2945143","WBS","Webster Financial Corp",2941078,$128907448.74,0.24548,"Banks","US","Common Stock"
,"2659109","ORI","Old Republic International Corp",4314502,$128831029.72,0.24533,"Insurance","US","Common Stock"
,"2111955","BWA","BorgWarner Inc",3927550,$128705813.5,0.24509,"Automobile Components","US","Common Stock"
,"2002554","SNX","TD SYNNEX Corp",1090843,$128544939.12,0.24479,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"B7K24P7","INGR","Ingredion Inc",1120835,$128436482.65,0.24458,"Food Products","US","Common Stock"
,"2043274","OHI","Omega Healthcare Investors Inc",4193356,$127519955.96,0.24284,"Health Care REITs","US","REIT"
,"2455761","EGP","EastGroup Properties Inc",819668,$127343620.48,0.2425,"Industrial REITs","US","REIT"
,"B50K3X8","PRI","Primerica Inc",598746,$126850327.56,0.24156,"Insurance","US","Common Stock"
,"2211811","NNN","NNN REIT Inc",3119879,$126448695.87,0.2408,"Retail REITs","US","REIT"
,"2328603","FMC","FMC Corp",2132223,$125822479.23,0.2396,"Chemicals","US","Common Stock"
,"2824770","X","United States Steel Corp",3441595,$125618217.5,0.23921,"Metals & Mining","US","Common Stock"
,"2663520","OSK","Oshkosh Corp",1118050,$125523473.5,0.23903,"Machinery","US","Common Stock"
,"2010278","AGCO","AGCO Corp",1087804,$124216338.76,0.23654,"Machinery","US","Common Stock"
,"B570P91","LEA","Lear Corp",975009,$122724382.83,0.2337,"Automobile Components","US","Common Stock"
,"BF0LKD0","KNX","Knight-Swift Transportation Holdings Inc",2622234,$121225877.82,0.23085,"Ground Transportation","US","Common Stock"
,"2086309","AIT","Applied Industrial Technologies Inc",660930,$121115422.5,0.23064,"Trading Companies & Distributors","US","Common Stock"
,"BKWQ2N2","VOYA","Voya Financial Inc",1760706,$120009720.96,0.22853,"Financial Services","US","Common Stock"
,"2515030","LAD","Lithia Motors Inc",470387,$119657045.06,0.22786,"Specialty Retail","US","Common Stock"
,"2657802","OGE","OGE Energy Corp",3423422,$118621572.3,0.22589,"Electric Utilities","US","Common Stock"
,"BLDDYB1","CHRD","Chord Energy Corp",669952,$118568104.96,0.22579,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BSFWCF5","AXTA","Axalta Coating Systems Ltd",3762051,$118278883.44,0.22524,"Chemicals","US","Common Stock"
,"2110703","RHI","Robert Half Inc",1708354,$118115595.56,0.22493,"Professional Services","US","Common Stock"
,"2696838","FLR","Fluor Corp",2912249,$117451002.17,0.22366,"Construction & Engineering","US","Common Stock"
,"2051404","ARW","Arrow Electronics Inc",919792,$117429844.64,0.22362,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BNYD4F8","CR","Crane Co",825323,$115553473.23,0.22005,"Machinery","US","Common Stock"
,"BKM4S16","MSA","MSA Safety Inc",638279,$115145531.6,0.21927,"Commercial Services & Supplies","US","Common Stock"
,"2898087","DVA","DaVita Inc",824425,$114603319.25,0.21824,"Health Care Providers & Services","US","Common Stock"
,"BDTZZG7","SAIC","Science Applications International Corp",889748,$114510567.6,0.21806,"Professional Services","US","Common Stock"
,"BCGCR79","SFM","Sprouts Farmers Market Inc",1730056,$114235597.68,0.21754,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2632003","NYT","New York Times Co/The",2651258,$114083631.74,0.21725,"Media","US","Common Stock"
,"BFTDJL8","BRX","Brixmor Property Group Inc",5138231,$113554905.1,0.21624,"Retail REITs","US","REIT"
,"B4Q5ZN4","JAZZ","Jazz Pharmaceuticals PLC",1022147,$113202780.25,0.21557,"Pharmaceuticals","US","Common Stock"
,"BMQ60Q1","UFPI","UFP Industries Inc",1003845,$113133331.5,0.21544,"Building Products","US","Common Stock"
,"2212870","CMA","Comerica Inc",2254353,$113100890.01,0.21538,"Banks","US","Common Stock"
,"2105505","HRB","H&R Block Inc",2384835,$112635757.05,0.21449,"Diversified Consumer Services","US","Common Stock"
,"BJBLRK3","DOC","Healthpeak Properties Inc",6050023,$112590928.03,0.21441,"Health Care REITs","US","REIT"
,"2611206","MUR","Murphy Oil Corp",2507927,$111953861.28,0.21319,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B3V9F12","PVH","PVH Corp",1019357,$110906041.6,0.2112,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BF5L3T2","ELAN","Elanco Animal Health Inc",8421002,$110820386.32,0.21103,"Pharmaceuticals","US","Common Stock"
,"B65VZ37","ACHC","Acadia Healthcare Co Inc",1497038,$110690989.72,0.21079,"Health Care Providers & Services","US","Common Stock"
,"2572303","MAT","Mattel Inc",6037121,$110600056.72,0.21062,"Leisure Products","US","Common Stock"
,"BDHF495","ATKR","Atkore Inc",628344,$110148703.2,0.20976,"Electrical Equipment","US","Common Stock"
,"B4PZ892","ALSN","Allison Transmission Holdings Inc",1490715,$109642088.25,0.20879,"Machinery","US","Common Stock"
,"2213204","CBSH","Commerce Bancshares Inc/MO",1998224,$109262888.32,0.20807,"Banks","US","Common Stock"
,"BG0Q4Z2","JEF","Jefferies Financial Group Inc",2536692,$109229957.52,0.20801,"Capital Markets","US","Common Stock"
,"2493534","KEX","Kirby Corp",999973,$109127053.49,0.20781,"Marine Transportation","US","Common Stock"
,"BYYHJL8","AGNC","AGNC Investment Corp",11878391,$108687277.65,0.20697,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"BYNPPC6","XRAY","DENTSPLY SIRONA Inc",3621048,$108667650.48,0.20694,"Health Care Equipment & Supplies","US","Common Stock"
,"2002479","AES","AES Corp/The",6067239,$108603578.1,0.20681,"Independent Power and Renewable Electricity Producers","US","Common Stock"
,"BYNF418","AA","Alcoa Corp",3068539,$107828460.46,0.20534,"Metals & Mining","US","Common Stock"
,"2658526","OLN","Olin Corp",2054166,$107391798.48,0.20451,"Chemicals","US","Common Stock"
,"2213260","CMC","Commercial Metals Co",1989083,$106893320.42,0.20356,"Metals & Mining","US","Common Stock"
,"BH4GV32","VNT","Vontier Corp",2630149,$106862953.87,0.2035,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"B64BRQ5","STAG","STAG Industrial Inc",3106506,$106832741.34,0.20344,"Industrial REITs","US","REIT"
,"BYSZB89","OMF","OneMain Holdings Inc",2049255,$106786678.05,0.20335,"Consumer Finance","US","Common Stock"
,"2598699","MHK","Mohawk Industries Inc",925171,$106690719.72,0.20317,"Household Durables","US","Common Stock"
,"B8BR3H3","BERY","Berry Global Group Inc",1882264,$106611432.96,0.20302,"Containers & Packaging","US","Common Stock"
,"2645409","NI","NiSource Inc",3824868,$106560822.48,0.20292,"Multi-Utilities","US","Common Stock"
,"B28XP76","IVZ","Invesco Ltd",7517501,$106522989.17,0.20285,"Capital Markets","US","Common Stock"
,"B02TS99","BECN","Beacon Roofing Supply Inc",1079422,$106355449.66,0.20253,"Trading Companies & Distributors","US","Common Stock"
,"2288406","FLS","Flowserve Corp",2242783,$105769646.28,0.20142,"Machinery","US","Common Stock"
,"2766173","SIGI","Selective Insurance Group Inc",1036215,$105331254.75,0.20058,"Insurance","US","Common Stock"
,"B1BHXZ2","EVR","Evercore Inc",579522,$105183243,0.2003,"Capital Markets","US","Common Stock"
,"B86QM90","BPOP","Popular Inc",1233761,$104857347.39,0.19968,"Banks","US","Common Stock"
,"2719070","RLI","RLI Corp",740647,$104690453.45,0.19936,"Insurance","US","Common Stock"
,"BJLTMN5","ESAB","Esab Corp",978499,$103603474.12,0.19729,"Machinery","US","Common Stock"
,"2989828","ZION","Zions Bancorp NA",2531938,$103252431.64,0.19662,"Banks","US","Common Stock"
,"BN7L880","DTM","DT Midstream Inc",1657682,$103107820.4,0.19635,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2239556","CFR","Cullen/Frost Bankers Inc",987654,$103051818.36,0.19624,"Banks","US","Common Stock"
,"BFMXGR0","EVRG","Evergy Inc",1962609,$102938842.05,0.19603,"Electric Utilities","US","Common Stock"
,"2609717","MLI","Mueller Industries Inc",1843257,$102890605.74,0.19593,"Machinery","US","Common Stock"
,"2360757","FR","First Industrial Realty Trust Inc",2260446,$102669457.32,0.19551,"Industrial REITs","US","REIT"
,"2601326","MTH","Meritage Homes Corp",618260,$102470412.4,0.19513,"Household Durables","US","Common Stock"
,"BP0VMC3","UHAL/B","U-Haul Holding Co",1664374,$102059413.68,0.19435,"Ground Transportation","US","Common Stock"
,"2475060","NSIT","Insight Enterprises Inc",556976,$101687108.32,0.19364,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BKTNTR9","PARA","Paramount Global",8897939,$101347525.21,0.193,"Media","US","Common Stock"
,"2425258","WTFC","Wintrust Financial Corp",1047147,$101196286.08,0.19271,"Banks","US","Common Stock"
,"B0CCGJ4","WAL","Western Alliance Bancorp",1777595,$101020723.85,0.19237,"Banks","US","Common Stock"
,"2004185","ANF","Abercrombie & Fitch Co",818199,$99427542.48,0.18934,"Specialty Retail","US","Common Stock"
,"BFMBMT8","ST","Sensata Technologies Holding PLC",2586042,$99071269.02,0.18866,"Electrical Equipment","US","Common Stock"
,"2466321","IPG","Interpublic Group of Cos Inc/The",3235201,$98479518.44,0.18753,"Media","US","Common Stock"
,"BNFX071","SSB","SouthState Corp",1299278,$98355344.6,0.1873,"Banks","US","Common Stock"
,"2062161","ADC","Agree Realty Corp",1717604,$98281300.88,0.18716,"Retail REITs","US","REIT"
,"B4V9661","RL","Ralph Lauren Corp",600589,$98280383.96,0.18716,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BP0V999","FYBR","Frontier Communications Parent Inc",4198961,$97163957.54,0.18503,"Diversified Telecommunication Services","US","Common Stock"
,"2892807","TKR","Timken Co/The",1085079,$96810748.38,0.18436,"Machinery","US","Common Stock"
,"B832462","TMHC","Taylor Morrison Home Corp",1728350,$96804883.5,0.18435,"Household Durables","US","Common Stock"
,"B3PQ520","STWD","Starwood Property Trust Inc",5083410,$96432287.7,0.18364,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"BFMWBV6","ETRN","Equitrans Midstream Corp",7040587,$95259142.11,0.1814,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BQ1L7V3","SPXC","SPX Technologies Inc",780005,$95012409.05,0.18093,"Machinery","US","Common Stock"
,"2310257","PB","Prosperity Bancshares Inc",1521998,$94318216.06,0.17961,"Banks","US","Common Stock"
,"B23DBK6","G","Genpact Ltd",3067275,$94288033.5,0.17955,"Professional Services","US","Common Stock"
,"BDG22J3","VVV","Valvoline Inc",2215419,$94199615.88,0.17938,"Specialty Retail","US","Common Stock"
,"2149309","BC","Brunswick Corp/DE",1164659,$93918101.76,0.17885,"Leisure Products","US","Common Stock"
,"2821395","SON","Sonoco Products Co",1674434,$93852025.7,0.17872,"Containers & Packaging","US","Common Stock"
,"2548616","MTG","MGIC Investment Corp",4608889,$93468268.92,0.17799,"Financial Services","US","Common Stock"
,"2943620","WTS","Watts Water Technologies Inc",467268,$92734007.28,0.17659,"Machinery","US","Common Stock"
,"2012605","ALK","Alaska Air Group Inc",2153601,$92647915.02,0.17643,"Passenger Airlines","US","Common Stock"
,"B7F4TJ7","PBF","PBF Energy Inc",1736634,$92510493.18,0.17617,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BFWGXR8","ESNT","Essent Group Ltd",1734942,$91899877.74,0.175,"Financial Services","US","Common Stock"
,"BMFX6P4","JXN","Jackson Financial Inc",1344376,$91847768.32,0.17491,"Financial Services","US","Common Stock"
,"BRJ9GW0","RITM","Rithm Capital Corp",8254502,$91790062.24,0.1748,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"2732635","AN","AutoNation Inc",569515,$91777342.25,0.17477,"Specialty Retail","US","Common Stock"
,"2098508","BIO","Bio-Rad Laboratories Inc",340178,$91763015.5,0.17474,"Life Sciences Tools & Services","US","Common Stock"
,"2983563","KMX","CarMax Inc",1349084,$91697239.48,0.17462,"Specialty Retail","US","Common Stock"
,"2910118","UGI","UGI Corp",3580122,$91507918.32,0.17426,"Gas Utilities","US","Common Stock"
,"BJ1C2K1","ESI","Element Solutions Inc",3928327,$90862203.51,0.17303,"Chemicals","US","Common Stock"
,"B3XS562","AL","Air Lease Corp",1802703,$90567798.72,0.17247,"Trading Companies & Distributors","US","Common Stock"
,"BN6QGL5","AIRC","Apartment Income REIT Corp",2352163,$90276015.94,0.17191,"Residential REITs","US","REIT"
,"B4NFPK4","FAF","First American Financial Corp",1673356,$89641680.92,0.1707,"Insurance","US","Common Stock"
,"B9BP4R1","BCC","Boise Cascade Co",675713,$89376558.51,0.1702,"Trading Companies & Distributors","US","Common Stock"
,"BJT1RW7","LYFT","Lyft Inc",5681705,$88861866.2,0.16922,"Ground Transportation","US","Common Stock"
,"2960384","WHR","Whirlpool Corp",933830,$88583113.8,0.16869,"Household Durables","US","Common Stock"
,"2949758","NXST","Nexstar Media Group Inc",550528,$88117511.68,0.1678,"Media","US","Common Stock"
,"2127899","AMG","Affiliated Managers Group Inc",560499,$87493893.9,0.16661,"Capital Markets","US","Common Stock"
,"B067BM3","TAP","Molson Coors Beverage Co",1523238,$87220607.88,0.16609,"Beverages","US","Common Stock"
,"2760669","R","Ryder System Inc",712755,$86849196.75,0.16539,"Ground Transportation","US","Common Stock"
,"BSPHGN6","LAMR","Lamar Advertising Co",748150,$86673177.5,0.16505,"Specialized REITs","US","REIT"
,"2831888","SWX","Southwest Gas Holdings Inc",1161079,$86639714.98,0.16499,"Gas Utilities","US","Common Stock"
,"BMCS168","CADE","Cadence Bank",3124259,$86448246.53,0.16462,"Banks","US","Common Stock"
,"2162500","CBT","Cabot Corp",947144,$86407947.12,0.16455,"Chemicals","US","Common Stock"
,"BZ56Q65","OZK","Bank OZK",1933580,$86334347,0.16441,"Banks","US","Common Stock"
,"2345022","M","Macy's Inc",4682004,$86289333.72,0.16432,"Broadline Retail","US","Common Stock"
,"B3NPHP6","MOS","Mosaic Co/The",2748077,$86262137.03,0.16427,"Chemicals","US","Common Stock"
,"2889876","THO","Thor Industries Inc",865527,$86050694.34,0.16387,"Automobiles","US","Common Stock"
,"2547323","MDU","MDU Resources Group Inc",3480450,$85967115,0.16371,"Construction & Engineering","US","Common Stock"
,"BMH4NJ8","SNV","Synovus Financial Corp",2381440,$85231737.6,0.16231,"Banks","US","Common Stock"
,"2658441","ONB","Old National Bancorp/IN",5141577,$85041683.58,0.16194,"Banks","US","Common Stock"
,"2360326","GPS","Gap Inc/The",4117994,$84501236.88,0.16092,"Specialty Retail","US","Common Stock"
,"2948089","WWD","Woodward Inc",514973,$83611016.28,0.15922,"Aerospace & Defense","US","Common Stock"
,"2626103","NFG","National Fuel Gas Co",1574209,$83590497.9,0.15918,"Gas Utilities","US","Common Stock"
,"BGHKHS1","COOP","Mr Cooper Group Inc",1069030,$82529116,0.15716,"Financial Services","US","Common Stock"
,"2296937","IDA","IDACORP Inc",864764,$81962331.92,0.15608,"Electric Utilities","US","Common Stock"
,"BP96PQ4","CTLT","Catalent Inc",1466412,$81899110.2,0.15596,"Pharmaceuticals","US","Common Stock"
,"2041308","FNB","FNB Corp/PA",6130790,$81784738.6,0.15574,"Banks","US","Common Stock"
,"2197308","CRUS","Cirrus Logic Inc",921278,$81597592.46,0.15539,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2535243","LPX","Louisiana-Pacific Corp",1110919,$81308161.61,0.15483,"Paper & Forest Products","US","Common Stock"
,"BLDC8J4","OGN","Organon & Co",4366216,$81255279.76,0.15473,"Pharmaceuticals","US","Common Stock"
,"BW9JPS4","SUM","Summit Materials Inc",2083434,$81045582.6,0.15433,"Construction Materials","US","Common Stock"
,"2677606","AXS","Axis Capital Holdings Ltd",1311338,$80424359.54,0.15315,"Insurance","US","Common Stock"
,"2101967","SLM","SLM Corp",3764004,$79759244.76,0.15189,"Consumer Finance","US","Common Stock"
,"BJBT0Q4","AM","Antero Midstream Corp",5737187,$79402668.08,0.15121,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2516378","LNC","Lincoln National Corp",2896820,$78996281.4,0.15043,"Insurance","US","Common Stock"
,"BBBSMJ2","COTY","Coty Inc",6881063,$78719360.72,0.14991,"Personal Care Products","US","Common Stock"
,"B1F76F9","WU","Western Union Co/The",5845154,$78558869.76,0.1496,"Financial Services","US","Common Stock"
,"2173911","RDN","Radian Group Inc",2616675,$78160082.25,0.14884,"Financial Services","US","Common Stock"
,"2601218","MOG/A","Moog Inc",491110,$78120867.7,0.14877,"Aerospace & Defense","US","Common Stock"
,"2692933","PII","Polaris Inc",915087,$77928808.92,0.1484,"Leisure Products","US","Common Stock"
,"2232793","SEE","Sealed Air Corp",2466998,$77661097.04,0.14789,"Containers & Packaging","US","Common Stock"
