 (VBK) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"B033TJ7","TXRH","Texas Roadhouse Inc",958729,$154144448.62,0.45894,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BYQRG48","NTRA","Natera Inc",1638245,$152160195.6,0.45303,"Biotechnology","US","Common Stock"
,"BDSFG98","FTI","TechnipFMC PLC",5938974,$152156513.88,0.45302,"Energy Equipment & Services","US","Common Stock"
,"BNXKS92","CNM","Core & Main Inc",2690150,$151912770.5,0.45229,"Trading Companies & Distributors","US","Common Stock"
,"2982399","SAIA","Saia Inc",381247,$151290247.01,0.45044,"Ground Transportation","US","Common Stock"
,"2563125","ELS","Equity LifeStyle Properties Inc",2411785,$145406517.65,0.43292,"Residential REITs","US","REIT"
,"2816023","AOS","A O Smith Corp",1741545,$144269587.8,0.42954,"Building Products","US","Common Stock"
,"BSHZ3Q0","TECH","Bio-Techne Corp",2256896,$142658396.16,0.42474,"Life Sciences Tools & Services","US","Common Stock"
,"BP0TQN6","HOOD","Robinhood Markets Inc",8558712,$141133160.88,0.4202,"Capital Markets","US","Common Stock"
,"2311711","ERIE","Erie Indemnity Co",364685,$139550362.1,0.41549,"Insurance","US","Common Stock"
,"2241205","CW","Curtiss-Wright Corp",548439,$138985411.38,0.4138,"Aerospace & Defense","US","Common Stock"
,"2483074","TREX","Trex Co Inc",1558928,$138043074.4,0.411,"Building Products","US","Common Stock"
,"BDCBC61","MEDP","Medpace Holdings Inc",353226,$137175317.1,0.40841,"Life Sciences Tools & Services","US","Common Stock"
,"BMV3LG4","APP","AppLovin Corp",1929407,$136158251.99,0.40539,"Software","US","Common Stock"
,"2506658","LSCC","Lattice Semiconductor Corp",1974593,$135457079.8,0.4033,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2202473","CLH","Clean Harbors Inc",696899,$132027515.55,0.39309,"Commercial Services & Supplies","US","Common Stock"
,"2897040","TTC","Toro Co/The",1498453,$131249498.27,0.39077,"Machinery","US","Common Stock"
,"BP6D7B7","TOST","Toast Inc",5540516,$130922393.08,0.3898,"Financial Services","US","Common Stock"
,"BFX1V56","DAY","Dayforce Inc",2131975,$130839305.75,0.38955,"Professional Services","US","Common Stock"
,"BKZ7N95","ONTO","Onto Innovation Inc",704447,$130667874.03,0.38904,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B6SW913","CUBE","CubeSmart",3227635,$130525559.4,0.38862,"Specialized REITs","US","REIT"
,"B7JYSG3","GWRE","Guidewire Software Inc",1176049,$129835809.6,0.38656,"Software","US","Common Stock"
,"B8383P2","WEX","WEX Inc",613500,$129608010,0.38588,"Financial Services","US","Common Stock"
,"BLNN369","WFRD","Weatherford International PLC",1037993,$128316694.66,0.38204,"Energy Equipment & Services","US","Common Stock"
,"BC9ZHL9","REXR","Rexford Industrial Realty Inc",2971439,$127207303.59,0.37874,"Industrial REITs","US","REIT"
,"2319414","EQT","EQT Corp",3159991,$126684039.19,0.37718,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2428042","SKX","Skechers USA Inc",1917098,$126624322.9,0.377,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"2963811","WYNN","Wynn Resorts Ltd",1378019,$126295441.35,0.37602,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BZ0W624","BWXT","BWX Technologies Inc",1313451,$125789202.27,0.37451,"Aerospace & Defense","US","Common Stock"
,"2731654","RGEN","Repligen Corp",760431,$124862770.2,0.37176,"Life Sciences Tools & Services","US","Common Stock"
,"BYQHPG3","CVNA","Carvana Co",1501897,$124537299.24,0.37079,"Specialty Retail","US","Common Stock"
,"2191399","EXP","Eagle Materials Inc",494486,$123972585.06,0.36911,"Construction Materials","US","Common Stock"
,"BN7CQS9","OWL","Blue Owl Capital Inc",6541083,$123561057.87,0.36788,"Capital Markets","US","Common Stock"
,"BDDQ975","ELF","elf Beauty Inc",756889,$123017169.17,0.36626,"Personal Care Products","US","Common Stock"
,"2190084","CHE","Chemed Corp",216150,$122773200,0.36553,"Health Care Providers & Services","US","Common Stock"
,"2194105","CHDN","Churchill Downs Inc",951661,$122764269,0.36551,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BK80XH9","MTCH","Match Group Inc",3900847,$120224104.54,0.35794,"Interactive Media & Services","US","Common Stock"
,"2216991","TPX","Tempur Sealy International Inc",2366974,$118490718.44,0.35278,"Household Durables","US","Common Stock"
,"B6197Q2","GNRC","Generac Holdings Inc",865017,$117607711.32,0.35015,"Electrical Equipment","US","Common Stock"
,"BWTN5N1","ETSY","Etsy Inc",1700471,$116771343.57,0.34766,"Broadline Retail","US","Common Stock"
,"2919290","LNW","Light & Wonder Inc",1293680,$115473876.8,0.3438,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BD1MGQ3","KNSL","Kinsale Capital Group Inc",316045,$114803346.25,0.34181,"Insurance","US","Common Stock"
,"2366799","GNTX","Gentex Corp",3322237,$113952729.1,0.33927,"Automobile Components","US","Common Stock"
,"2755706","RGLD","Royal Gold Inc",942714,$113248232.82,0.33718,"Metals & Mining","US","Common Stock"
,"BFXCLC6","ESTC","Elastic NV",1103848,$112835342.56,0.33595,"Software","US","Common Stock"
,"BMCM6P4","DUOL","Duolingo Inc",487980,$110161485,0.32799,"Diversified Consumer Services","US","Common Stock"
,"B85KFY9","FIVE","Five Below Inc",752393,$110105191.62,0.32782,"Specialty Retail","US","Common Stock"
,"2526117","ATI","ATI Inc",1830139,$109259298.3,0.3253,"Metals & Mining","US","Common Stock"
,"B03Q9D0","MKTX","MarketAxess Holdings Inc",543412,$108731307.08,0.32373,"Capital Markets","US","Common Stock"
,"2809250","SSD","Simpson Manufacturing Co Inc",612318,$106475977.02,0.31701,"Building Products","US","Common Stock"
,"BMWWGB0","CZR","Caesars Entertainment Inc",2949172,$105639341.04,0.31452,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BMD02L5","PATH","UiPath Inc",5546783,$105222473.51,0.31328,"Software","US","Common Stock"
,"BN2RYW9","NOV","NOV Inc",5653844,$104539575.56,0.31125,"Energy Equipment & Services","US","Common Stock"
,"BZ1LFG7","ROKU","Roku Inc",1810085,$104369501.1,0.31074,"Entertainment","US","Common Stock"
,"BMG9GG2","CIVI","Civitas Resources Inc",1448284,$104218516.64,0.31029,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B081VR8","MORN","Morningstar Inc",368179,$104065794.35,0.30984,"Capital Markets","US","Common Stock"
,"BN70ZC0","BRBR","BellRing Brands Inc",1882340,$103848697.8,0.30919,"Personal Care Products","US","Common Stock"
,"BZ0V201","PEN","Penumbra Inc",527741,$103685274.27,0.3087,"Health Care Equipment & Supplies","US","Common Stock"
,"2954194","MTN","Vail Resorts Inc",544815,$103171616.55,0.30717,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BDT5KT5","INSP","Inspire Medical Systems Inc",424486,$102581286.76,0.30542,"Health Care Equipment & Supplies","US","Common Stock"
,"B0T7Z62","CROX","Crocs Inc",824781,$102578012.97,0.30541,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"B0GLYB5","RBC","RBC Bearings Inc",418698,$102392595.9,0.30485,"Machinery","US","Common Stock"
,"2208288","CGNX","Cognex Corp",2462528,$102293413.12,0.30456,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2277880","OLED","Universal Display Corp",645659,$102001208.82,0.30369,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BYQ7X81","SITE","SiteOne Landscape Supply Inc",647917,$101651698.13,0.30265,"Trading Companies & Distributors","US","Common Stock"
,"BHCB0P4","ITCI","Intra-Cellular Therapies Inc",1412737,$101448643.97,0.30204,"Pharmaceuticals","US","Common Stock"
,"BMF9NM8","AFRM","Affirm Holdings Inc",3170078,$101062086.64,0.30089,"Financial Services","US","Common Stock"
,"2616137","BRKR","Bruker Corp",1291154,$100722923.54,0.29988,"Life Sciences Tools & Services","US","Common Stock"
,"BP8XZL1","HQY","HealthEquity Inc",1231020,$97139788.2,0.28922,"Health Care Providers & Services","US","Common Stock"
,"2250289","DAR","Darling Ingredients Inc",2289581,$97009546.97,0.28883,"Food Products","US","Common Stock"
,"2576941","EXEL","Exelixis Inc",4133843,$96979956.78,0.28874,"Biotechnology","US","Common Stock"
,"B1YWPP8","ENSG","Ensign Group Inc/The",812896,$96214370.56,0.28646,"Health Care Providers & Services","US","Common Stock"
,"B1FLZ21","CIEN","Ciena Corp",2080484,$96180775.32,0.28636,"Communications Equipment","US","Common Stock"
,"B7MSLL8","MTDR","Matador Resources Co",1542594,$96103606.2,0.28613,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BMHL0Z4","WSC","WillScot Mobile Mini Holdings Corp",2589315,$95701082.4,0.28493,"Construction & Engineering","US","Common Stock"
,"BKPVG43","AZEK","AZEK Co Inc/The",2095582,$95642362.48,0.28476,"Building Products","US","Common Stock"
,"2781585","POOL","Pool Corp",263598,$95562182.94,0.28452,"Distributors","US","Common Stock"
,"BYQ3PM7","HLI","Houlihan Lokey Inc",749021,$95492687.29,0.28431,"Capital Markets","US","Common Stock"
,"2567503","HST","Host Hotels & Resorts Inc",5056014,$95406984.18,0.28406,"Hotel & Resort REITs","US","REIT"
,"BKM4N88","PCTY","Paylocity Holding Corp",606110,$94044027.6,0.28,"Professional Services","US","Common Stock"
,"B57VWJ3","SPSC","SPS Commerce Inc",530405,$92221517.35,0.27457,"Software","US","Common Stock"
,"BMW7N69","CHX","ChampionX Corp",2741961,$92047630.77,0.27405,"Energy Equipment & Services","US","Common Stock"
,"B1YWR63","MASI","Masimo Corp",682393,$91720443.13,0.27308,"Health Care Equipment & Supplies","US","Common Stock"
,"BLH11J8","PCOR","Procore Technologies Inc",1338128,$91554717.76,0.27259,"Software","US","Common Stock"
,"B4JSZL8","FN","Fabrinet",520850,$90143509.5,0.26839,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2503994","LSTR","Landstar System Inc",516598,$90099857.18,0.26826,"Ground Transportation","US","Common Stock"
,"2727910","UDR","UDR Inc",2363029,$89984144.32,0.26791,"Residential REITs","US","REIT"
,"B5B82X4","H","Hyatt Hotels Corp",602793,$89689570.47,0.26703,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BKDS4H5","BILL","BILL Holdings Inc",1435040,$89489094.4,0.26644,"Software","US","Common Stock"
,"B3SKZK7","COLD","Americold Realty Trust Inc",4068647,$89388174.59,0.26614,"Industrial REITs","US","REIT"
,"B19HNF4","GTLS","Chart Industries Inc",613325,$88355599.5,0.26306,"Machinery","US","Common Stock"
,"2268130","AAON","AAON Inc",932301,$87720201.09,0.26117,"Building Products","US","Common Stock"
,"BBBSBJ5","CYTK","Cytokinetics Inc",1409202,$86412266.64,0.25728,"Biotechnology","US","Common Stock"
,"BDQZFJ3","LW","Lamb Weston Holdings Inc",1035491,$86297819.94,0.25694,"Food Products","US","Common Stock"
,"B7MJWP2","BFAM","Bright Horizons Family Solutions Inc",830604,$86141940.84,0.25647,"Diversified Consumer Services","US","Common Stock"
,"B1XGNW4","PODD","Insulet Corp",500827,$86112194.38,0.25638,"Health Care Equipment & Supplies","US","Common Stock"
,"B8QV5C9","RHP","Ryman Hospitality Properties Inc",815210,$85988350.8,0.25601,"Hotel & Resort REITs","US","REIT"
,"BLKFTK4","FTAI","FTAI Aviation Ltd",1224483,$85970951.43,0.25596,"Trading Companies & Distributors","US","Common Stock"
,"BF108P4","WH","Wyndham Hotels & Resorts Inc",1161816,$85405094.16,0.25428,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BM8J4C2","SOFI","SoFi Technologies Inc",12589208,$85354830.24,0.25413,"Consumer Finance","US","Common Stock"
,"BPK3058","IOT","Samsara Inc",2442460,$85315127.8,0.25401,"Software","US","Common Stock"
,"2469193","JKHY","Jack Henry & Associates Inc",523628,$85189039.32,0.25363,"Financial Services","US","Common Stock"
,"BNNTGF1","GXO","GXO Logistics Inc",1710951,$84965826.66,0.25297,"Air Freight & Logistics","US","Common Stock"
,"BQBBFD1","TKO","TKO Group Holdings Inc",896941,$84913404.47,0.25281,"Entertainment","US","Common Stock"
,"2721967","RMBS","Rambus Inc",1542144,$84540334.08,0.2517,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B5B15Y5","MTSI","MACOM Technology Solutions Holdings Inc",828354,$84450690.3,0.25144,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BKPVGH6","PCVX","Vaxcyte Inc",1394216,$84419778.8,0.25134,"Biotechnology","US","Common Stock"
,"BL71K91","RVMD","REVOLUTION Medicines Inc",2236381,$83372283.68,0.24823,"Biotechnology","US","Common Stock"
,"BG0T321","DBX","Dropbox Inc",3588432,$83108085.12,0.24744,"Software","US","Common Stock"
,"B7XJTN8","QLYS","Qualys Inc",503879,$82590806.89,0.2459,"Software","US","Common Stock"
,"2531832","LFUS","Littelfuse Inc",357396,$82429813.44,0.24542,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BJSP4C9","IBP","Installed Building Products Inc",346512,$81683273.76,0.2432,"Household Durables","US","Common Stock"
,"B7D65M0","GMED","Globus Medical Inc",1634255,$81369556.45,0.24226,"Health Care Equipment & Supplies","US","Common Stock"
,"BWY52P3","BPMC","Blueprint Medicines Corp",880005,$80379656.7,0.23932,"Biotechnology","US","Common Stock"
,"BD8S5H8","NOVT","Novanta Inc",513598,$80378087,0.23931,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BR1GTS6","NXT","NEXTracker Inc",1861555,$79655938.45,0.23716,"Electrical Equipment","US","Common Stock"
,"BPQWHP8","HR","Healthcare Realty Trust Inc",5466712,$77791311.76,0.23161,"Health Care REITs","US","REIT"
,"BMWF095","ZI","ZoomInfo Technologies Inc",4901409,$77736346.74,0.23145,"Interactive Media & Services","US","Common Stock"
,"2416779","HXL","Hexcel Corp",1210173,$77705208.33,0.23135,"Aerospace & Defense","US","Common Stock"
,"BNXH3Z4","CFLT","Confluent Inc",2758792,$77577231.04,0.23097,"Software","US","Common Stock"
,"2069128","BMI","Badger Meter Inc",420926,$76995783.92,0.22924,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BM99VY2","TPL","Texas Pacific Land Corp",131973,$76056039.9,0.22644,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BF7J7N6","TENB","Tenable Holdings Inc",1683620,$75712391.4,0.22542,"Software","US","Common Stock"
,"BP7L1B8","S","SentinelOne Inc",3574026,$75519169.38,0.22484,"Software","US","Common Stock"
,"BYSFJV8","PLNT","Planet Fitness Inc",1246650,$74599536,0.22211,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BKM5C62","OPCH","Option Care Health Inc",2488297,$74375197.33,0.22144,"Health Care Providers & Services","US","Common Stock"
,"2120490","CWST","Casella Waste Systems Inc",819261,$74061194.4,0.2205,"Commercial Services & Supplies","US","Common Stock"
,"BD6P5Q0","TWLO","Twilio Inc",1235568,$73985811.84,0.22028,"IT Services","US","Common Stock"
,"BS7K7M9","FRPT","Freshpet Inc",693313,$73539709.91,0.21895,"Food Products","US","Common Stock"
,"BDJ0LS6","IONS","Ionis Pharmaceuticals Inc",1777262,$73329830.12,0.21833,"Biotechnology","US","Common Stock"
,"B3N4753","TRNO","Terreno Realty Corp",1341510,$72911068.5,0.21708,"Industrial REITs","US","REIT"
,"BSPHGN6","LAMR","Lamar Advertising Co",629311,$72905679.35,0.21706,"Specialized REITs","US","REIT"
,"B1FT462","AWI","Armstrong World Industries Inc",629614,$72330056.32,0.21535,"Building Products","US","Common Stock"
,"BP2V812","AZPN","Aspen Technology Inc",364663,$71791204.81,0.21374,"Software","US","Common Stock"
,"BN2QTL0","NE","Noble Corp PLC",1615005,$71673921.9,0.2134,"Energy Equipment & Services","US","Common Stock"
,"2333986","FSS","Federal Signal Corp",875664,$71191483.2,0.21196,"Machinery","US","Common Stock"
,"2948089","WWD","Woodward Inc",433289,$70348802.04,0.20945,"Aerospace & Defense","US","Common Stock"
,"2018669","MMS","Maximus Inc",875044,$70248532.32,0.20915,"Professional Services","US","Common Stock"
,"BFZND98","SMAR","Smartsheet Inc. Class A",1855990,$70212101.7,0.20904,"Software","US","Common Stock"
,"2975098","HALO","Halozyme Therapeutics Inc",1822976,$69455385.6,0.20679,"Biotechnology","US","Common Stock"
,"BMTVT22","GTLB","Gitlab Inc",1318203,$69166111.41,0.20593,"Software","US","Common Stock"
,"BP96PQ4","CTLT","Catalent Inc",1233822,$68908958.7,0.20516,"Pharmaceuticals","US","Common Stock"
,"BPBSZJ1","KRG","Kite Realty Group Trust",3153794,$68752709.2,0.2047,"Retail REITs","US","REIT"
,"BM9HZ11","ALTM","Arcadium Lithium PLC",15427422,$67880656.8,0.2021,"Chemicals","US","Common Stock"
,"BNXKSK3","RYAN","Ryan Specialty Holdings Inc",1360458,$67124997.72,0.19985,"Insurance","US","Common Stock"
,"2401195","HAE","Haemonetics Corp",728036,$66942910.2,0.19931,"Health Care Equipment & Supplies","US","Common Stock"
,"2330318","EXPO","Exponent Inc",725491,$66679877.81,0.19853,"Professional Services","US","Common Stock"
,"B04NJM9","DLB","Dolby Laboratories Inc",854971,$66397047.86,0.19768,"Software","US","Common Stock"
,"BL95MY0","PAYC","Paycom Software Inc",351358,$66048276.84,0.19665,"Professional Services","US","Common Stock"
,"2072074","BCPC","Balchem Corp",463711,$65559461.18,0.19519,"Chemicals","US","Common Stock"
,"BP8S8J5","LNTH","Lantheus Holdings Inc",984836,$65530987.44,0.19511,"Health Care Equipment & Supplies","US","Common Stock"
,"BJZ2ZR5","VRNS","Varonis Systems Inc",1489631,$65171356.25,0.19404,"Software","US","Common Stock"
,"B07LST0","EXLS","ExlService Holdings Inc",2246182,$65139278,0.19394,"Professional Services","US","Common Stock"
,"BQXZP64","W","Wayfair Inc",1292408,$64814261.2,0.19297,"Specialty Retail","US","Common Stock"
,"BZ22B38","OLLI","Ollie's Bargain Outlet Holdings Inc",885200,$64743528,0.19276,"Broadline Retail","US","Common Stock"
,"B1P5YY8","AVAV","AeroVironment Inc",404331,$64608050.49,0.19236,"Aerospace & Defense","US","Common Stock"
,"BD6D4Y5","ALTR","Altair Engineering Inc",801670,$64494351.5,0.19202,"Software","US","Common Stock"
,"BRBD9F4","CAVA","Cava Group Inc",896389,$64486224.66,0.192,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BYMWL19","GKOS","Glaukos Corp",670634,$64380864,0.19168,"Health Care Equipment & Supplies","US","Common Stock"
,"B142B38","CVLT","CommVault Systems Inc",627490,$64298900.3,0.19144,"Software","US","Common Stock"
,"2320148","EEFT","Euronet Worldwide Inc",623514,$64022417.52,0.19061,"Financial Services","US","Common Stock"
,"BYTQ6X1","APLS","Apellis Pharmaceuticals Inc",1447592,$63969090.48,0.19046,"Biotechnology","US","Common Stock"
,"BYN7H48","APPF","Appfolio Inc",281337,$63801604.86,0.18996,"Software","US","Common Stock"
,"BFFK0X2","EPRT","Essential Properties Realty Trust Inc",2386678,$62865098.52,0.18717,"Diversified REITs","US","REIT"
,"BQPCHB2","PR","Permian Resources Corp",3750368,$62818664,0.18703,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BDFGDQ0","TDW","Tidewater Inc",682449,$62682940.65,0.18663,"Energy Equipment & Services","US","Common Stock"
,"BF2GC59","MGY","Magnolia Oil & Gas Corp",2491134,$62452729.38,0.18594,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BF0SR29","HLNE","Hamilton Lane Inc",552444,$61719043.68,0.18376,"Capital Markets","US","Common Stock"
,"BKY7X18","FIVN","Five9 Inc",1053808,$60667726.56,0.18063,"Software","US","Common Stock"
,"2471949","ITRI","Itron Inc",652070,$60068688.4,0.17884,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BNG8Z81","COHR","Coherent Corp",1090909,$59596358.67,0.17744,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2206721","COKE","Coca-Cola Consolidated Inc",72143,$59590118,0.17742,"Beverages","US","Common Stock"
,"B3P6D26","ALKS","Alkermes PLC",2401203,$58925521.62,0.17544,"Biotechnology","US","Common Stock"
,"2580555","MMSI","Merit Medical Systems Inc",786454,$58276241.4,0.17351,"Health Care Equipment & Supplies","US","Common Stock"
,"BMDX9Z7","DV","DoubleVerify Holdings Inc",1954395,$57263773.5,0.17049,"Software","US","Common Stock"
,"BV0LCR0","SHAK","Shake Shack Inc",538966,$57049551.1,0.16985,"Hotels, Restaurants & Leisure","US","Common Stock"
,"B3F1XM1","LOPE","Grand Canyon Education Inc",431424,$56093748.48,0.16701,"Diversified Consumer Services","US","Common Stock"
,"2814005","SKY","Skyline Champion Corp",744812,$55853451.88,0.16629,"Household Durables","US","Common Stock"
,"2568131","SLAB","Silicon Laboratories Inc",457056,$55527733.44,0.16532,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BZBZ020","HRI","Herc Holdings Inc",386673,$55305839.19,0.16466,"Trading Companies & Distributors","US","Common Stock"
,"BQQG1V1","VKTX","Viking Therapeutics Inc",690338,$54937098.04,0.16356,"Biotechnology","US","Common Stock"
,"BSS6HY8","WK","Workiva Inc. Class A",692762,$54589645.6,0.16253,"Software","US","Common Stock"
,"2133045","POWI","Power Integrations Inc",817537,$54546068.64,0.1624,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B3KFWW1","RIG","Transocean Ltd",10435828,$54475022.16,0.16219,"Energy Equipment & Services","US","Common Stock"
,"B01CGF1","NEU","NewMarket Corp",103368,$54466666.56,0.16216,"Chemicals","US","Common Stock"
,"2350383","FELE","Franklin Electric Co Inc",563503,$54248433.81,0.16151,"Machinery","US","Common Stock"
,"BFXX5X8","VRRM","Verra Mobility Corp",2270735,$53543931.3,0.15942,"Professional Services","US","Common Stock"
,"BPF0BB7","FRSH","Freshworks Inc",2977552,$53149303.2,0.15824,"Software","US","Common Stock"
,"2889155","ACIW","ACI Worldwide Inc",1557528,$53111704.8,0.15813,"Software","US","Common Stock"
,"BN6RJM0","NOG","Northern Oil & Gas Inc",1300010,$53027407.9,0.15788,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2503206","LANC","Lancaster Colony Corp",276862,$52828038.22,0.15729,"Food Products","US","Common Stock"
,"2614487","INSM","Insmed Inc",2133868,$52749216.96,0.15705,"Biotechnology","US","Common Stock"
,"2117232","BYD","Boyd Gaming Corp",984541,$52682788.91,0.15685,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BP0PQT0","HCP","HashiCorp Inc",1601420,$51982093.2,0.15477,"Software","US","Common Stock"
,"BYXR425","RH","RH",209469,$51749316.45,0.15407,"Specialty Retail","US","Common Stock"
,"2049175","AEIS","Advanced Energy Industries Inc",536414,$51409917.76,0.15306,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BVB3BV2","BOX","Box Inc",1960482,$51011741.64,0.15188,"Software","US","Common Stock"
,"BCRYTK1","IRT","Independence Realty Trust Inc",3229421,$50927969.17,0.15163,"Residential REITs","US","REIT"
,"2106780","CHH","Choice Hotels International Inc",427156,$50515468.56,0.1504,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BMFND53","AMR","Alpha Metallurgical Resources Inc",152723,$49958747.76,0.14874,"Metals & Mining","US","Common Stock"
,"2891826","FORM","FormFactor Inc",1118741,$49884661.19,0.14852,"Semiconductors & Semiconductor Equipment","US","Common Stock"
