 (VTV) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"2066408","AVY","Avery Dennison Corp",667916,$145124788.48,0.0888,"Containers & Packaging","US","Common Stock"
,"2909730","TSN","Tyson Foods Inc",2375389,$144067342.85,0.08815,"Food Products","US","Common Stock"
,"2961053","SWKS","Skyworks Solutions Inc",1329114,$141670261.26,0.08668,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2586122","LH","Laboratory Corp of America Holdings",695977,$140148888.49,0.08575,"Health Care Providers & Services","US","Common Stock"
,"B4QG225","UAL","United Airlines Holdings Inc",2719841,$139963017.86,0.08564,"Passenger Airlines","US","Common Stock"
,"B05MZT4","CE","Celanese Corp",902893,$138693393.73,0.08486,"Chemicals","US","Common Stock"
,"BJLT387","AVTR","Avantor Inc",5624590,$136283815.7,0.08339,"Life Sciences Tools & Services","US","Common Stock"
,"2885937","TXT","Textron Inc",1600219,$135362525.21,0.08282,"Aerospace & Defense","US","Common Stock"
,"BDHLTQ5","BKR","Baker Hughes Co",4149334,$135351275.08,0.08282,"Energy Equipment & Services","US","Common Stock"
,"2325507","EXPD","Expeditors International of Washington Inc",1206045,$134244868.95,0.08214,"Air Freight & Logistics","US","Common Stock"
,"BM8JYX3","WBD","Warner Bros Discovery Inc",18211715,$134038222.4,0.08201,"Entertainment","US","Common Stock"
,"2989356","ZBRA","Zebra Technologies Corp",425868,$133961038.08,0.08197,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2648668","NTRS","Northern Trust Corp",1615572,$133106977.08,0.08144,"Capital Markets","US","Common Stock"
,"2316619","ESS","Essex Property Trust Inc",535464,$131858010,0.08068,"Residential REITs","US","REIT"
,"2556868","EG","Everest Group Ltd",359725,$131806837.25,0.08065,"Insurance","US","Common Stock"
,"2486813","K","Kellanova",2274691,$131613621.26,0.08053,"Food Products","US","Common Stock"
,"2504566","PKG","Packaging Corp of America",743175,$128554411.5,0.07866,"Containers & Packaging","US","Common Stock"
,"2910970","MRO","Marathon Oil Corp",4784689,$128468899.65,0.07861,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2831543","LUV","Southwest Airlines Co",4949614,$128392987.16,0.07856,"Passenger Airlines","US","Common Stock"
,"2754907","RCL","Royal Caribbean Cruises Ltd",909889,$127047801.07,0.07774,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2702791","DGX","Quest Diagnostics Inc",917615,$126796040.7,0.07758,"Health Care Providers & Services","US","Common Stock"
,"2589132","MAA","Mid-America Apartment Communities Inc",973355,$126536150,0.07742,"Residential REITs","US","REIT"
,"2507457","AKAM","Akamai Technologies Inc",1250032,$126165729.76,0.0772,"IT Services","US","Common Stock"
,"2570200","MAS","Masco Corp",1822357,$124740336.65,0.07632,"Building Products","US","Common Stock"
,"2903958","TRMB","Trimble Inc",2075528,$124676966.96,0.07629,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2405302","HAL","Halliburton Co",3320573,$124421870.31,0.07613,"Energy Equipment & Services","US","Common Stock"
,"2583576","ON","ON Semiconductor Corp",1770800,$124239328,0.07602,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BQRX1X3","CFG","Citizens Financial Group Inc",3636146,$124028940.06,0.07589,"Banks","US","Common Stock"
,"2523044","CCL","Carnival Corp",8347039,$123703117.98,0.07569,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2093644","WRB","W R Berkley Corp",1605200,$123552244,0.0756,"Insurance","US","Common Stock"
,"B0G4K50","CF","CF Industries Holdings Inc",1560848,$123260166.56,0.07542,"Chemicals","US","Common Stock"
,"2215460","CAG","Conagra Brands Inc",3961793,$121943988.54,0.07461,"Food Products","US","Common Stock"
,"2523022","L","Loews Corp",1575613,$118407316.95,0.07245,"Insurance","US","Common Stock"
,"2094670","BBY","Best Buy Co Inc",1606572,$118307962.08,0.07239,"Specialty Retail","US","Common Stock"
,"BYMWL86","TRU","TransUnion",1605901,$117230773,0.07173,"Professional Services","US","Common Stock"
,"2818740","SNA","Snap-on Inc",436795,$117043588.2,0.07161,"Machinery","US","Common Stock"
,"B3Q2FJ4","SWK","Stanley Black & Decker Inc",1279044,$116904621.6,0.07153,"Machinery","US","Common Stock"
,"BMWS3X9","VTRS","Viatris Inc",10008693,$115800578.01,0.07085,"Pharmaceuticals","US","Common Stock"
,"2490911","KEY","KeyCorp",7790657,$112886619.93,0.06907,"Banks","US","Common Stock"
,"BZ8VJQ8","VST","Vistra Corp",1480463,$112278313.92,0.0687,"Independent Power and Renewable Electricity Producers","US","Common Stock"
,"B58YSC6","SSNC","SS&C Technologies Holdings Inc",1756052,$108682058.28,0.0665,"Professional Services","US","Common Stock"
,"BNBRDD4","FNF","Fidelity National Financial Inc",2156876,$106765362,0.06533,"Insurance","US","Common Stock"
,"2305844","RVTY","Revvity Inc",1029530,$105495939.1,0.06455,"Life Sciences Tools & Services","US","Common Stock"
,"2973821","LNT","Alliant Energy Corp",2108446,$105000610.8,0.06425,"Electric Utilities","US","Common Stock"
,"BTN1Y44","WBA","Walgreens Boots Alliance Inc",5755035,$102036770.55,0.06243,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2465254","IP","International Paper Co",2889188,$100948228.72,0.06177,"Containers & Packaging","US","Common Stock"
,"B826YT8","WPC","WP Carey Inc",1824409,$100050589.56,0.06122,"Diversified REITs","US","REIT"
,"BBGVT40","NWSA","News Corp",4096176,$97488988.8,0.05965,"Media","US","Common Stock"
,"2971029","LKQ","LKQ Corp",2224676,$95950275.88,0.05871,"Distributors","US","Common Stock"
,"2951452","SJM","J M Smucker Co/The",834050,$95790642.5,0.05861,"Food Products","US","Common Stock"
,"BPGMZQ5","VLTO","Veralto Corp",976434,$91472337.12,0.05597,"Commercial Services & Supplies","US","Common Stock"
,"BJN4XN5","GEN","Gen Digital Inc",4515733,$90946862.62,0.05565,"Software","US","Common Stock"
,"BMVP7Y0","RPRX","Royalty Pharma PLC",3168312,$87762242.4,0.0537,"Pharmaceuticals","US","Common Stock"
,"BFY8C75","STE","STERIS PLC",412329,$84346020.24,0.05161,"Health Care Equipment & Supplies","US","Common Stock"
,"2849472","STLD","Steel Dynamics Inc",641118,$83422274.16,0.05104,"Metals & Mining","US","Common Stock"
,"BDFG6S3","HUBB","Hubbell Inc",223636,$82861610.72,0.0507,"Electrical Equipment","US","Common Stock"
,"2162340","CTRA","Coterra Energy Inc",2981883,$81584318.88,0.04992,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2437264","HRL","Hormel Foods Corp",2282343,$81160117.08,0.04966,"Food Products","US","Common Stock"
,"2547419","MGM","MGM Resorts International",2042973,$80574855.12,0.0493,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BDV82B8","LDOS","Leidos Holdings Inc",566536,$79439677.92,0.04861,"Professional Services","US","Common Stock"
,"2503477","TDY","Teledyne Technologies Inc",196909,$75116845.32,0.04596,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BKVD2N4","STX","Seagate Technology Holdings PLC",873758,$75064549.78,0.04593,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2162845","CPB","Campbell Soup Co",1617097,$73917503.87,0.04523,"Food Products","US","Common Stock"
,"BWFRFC6","GDDY","GoDaddy Inc",592362,$72493261.56,0.04436,"IT Services","US","Common Stock"
,"BJJMGL2","FOXA","Fox Corp",1944115,$60287006.15,0.03689,"Media","US","Common Stock"
,"2350684","BEN","Franklin Resources Inc",2635308,$60190434.72,0.03683,"Capital Markets","US","Common Stock"
,"BGSP7M9","ZM","Zoom Video Communications Inc",967308,$59102518.8,0.03616,"Software","US","Common Stock"
,"2781585","POOL","Pool Corp",153353,$55595063.09,0.03402,"Distributors","US","Common Stock"
,"2567503","HST","Host Hotels & Resorts Inc",2934644,$55376732.28,0.03388,"Hotel & Resort REITs","US","REIT"
,"BMTX0G9","CRBG","Corebridge Financial Inc",2074014,$55085811.84,0.03371,"Financial Services","US","Common Stock"
,"BJBLRK3","DOC","Healthpeak Properties Inc",2954444,$54982202.84,0.03364,"Health Care REITs","US","REIT"
,"2002479","AES","AES Corp/The",2963508,$53046793.2,0.03246,"Independent Power and Renewable Electricity Producers","US","Common Stock"
,"2727910","UDR","UDR Inc",1373888,$52317655.04,0.03201,"Residential REITs","US","REIT"
,"2645409","NI","NiSource Inc",1867254,$52021696.44,0.03183,"Multi-Utilities","US","Common Stock"
,"BFMXGR0","EVRG","Evergy Inc",957023,$50195856.35,0.03071,"Electric Utilities","US","Common Stock"
,"B1WT4X2","IBKR","Interactive Brokers Group Inc",423994,$48810189.28,0.02987,"Capital Markets","US","Common Stock"
,"2466321","IPG","Interpublic Group of Cos Inc/The",1580369,$48106432.36,0.02943,"Media","US","Common Stock"
,"2983563","KMX","CarMax Inc",658902,$44785568.94,0.0274,"Specialty Retail","US","Common Stock"
,"B067BM3","TAP","Molson Coors Beverage Co",743696,$42584032.96,0.02606,"Beverages","US","Common Stock"
,"B3NPHP6","MOS","Mosaic Co/The",1341742,$42117281.38,0.02577,"Chemicals","US","Common Stock"
,"BK6YKG1","GL","Globe Life Inc",392502,$29896877.34,0.01829,"Insurance","US","Common Stock"
,"BJJMGY5","FOX","Fox Corp",1026997,$29454273.96,0.01802,"Media","US","Common Stock"
,"BL98841","RIVN","Rivian Automotive Inc",3170670,$28218963,0.01727,"Automobiles","US","Common Stock"
,"BYNQ369","ACI","Albertsons Cos Inc",1322777,$26984650.8,0.01651,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BYP0CD9","AGR","Avangrid Inc",647995,$23671257.35,0.01448,"Electric Utilities","US","Common Stock"
,"B01ZP20","WLK","Westlake Corp",134080,$19758028.8,0.01209,"Chemicals","US","Common Stock"
,"BJQ05Y5","EDR","Endeavor Group Holdings Inc",564675,$14913066.75,0.00912,"Entertainment","US","Common Stock"
,"BYXJF62","Z","Zillow Group Inc",326527,$13900254.39,0.00851,"Real Estate Management & Development","US","Common Stock"
,"BMD6Y84","RKT","Rocket Cos Inc",1055300,$12959084,0.00793,"Financial Services","US","Common Stock"
,"BGLDK10","SIRI","Sirius XM Holdings Inc",1954001,$5744762.94,0.00352,"Media","US","Common Stock"
,"BPLYVJ1","LSXMA","Liberty Media Corp-Liberty SiriusXM",235891,$5675537.46,0.00347,"Media","US","Tracking Stk"
,"BVYJBR3","ZG","Zillow Group Inc",76654,$3219468,0.00197,"Real Estate Management & Development","US","Common Stock"
,"BPLYVL3","LSXMK","Liberty Media Corp-Liberty SiriusXM",107096,$2576729.76,0.00158,"Media","US","Tracking Stk"
,"2578293","LEN/B","Lennar Corp",15602,$2190364.78,0.00134,"Household Durables","US","Common Stock"
,"BBGVT51","NWS","News Corp",14085,$345645.9,0.00021,"Media","US","Common Stock"
,"BNRR1B2","ATMU","Atmus Filtration Technologies Inc",13,$393.77,0,"Machinery","US","Common Stock"

Bonds holdings 
 ,SEDOL,Holdings name,Coupon rate,Maturity date,Face amount,Market value*,% of fund*

 holdings 
 ,SEDOL,Holdings name,% of fund*,Market value*,Local currency

Commodities holdings 
 ,SEDOL,Holdings name,% of fund*,Market value*,# of Contracts
Short-term reserves holdings 
 ,SEDOL,Holdings name,Market value*,% of fund*
,"null","MKTLIQ",,12/31/2999$104547952.16,---
,"null","SLBBH1142",,12/31/2049$40794310.36,---

"<p>Sector categories are based on the Industry Classification Benchmark system (“ICB”), except for the “Other” category (if applicable), which includes securities that have not been provided an ICB classification as of the effective reporting period.</p>
"
"* Percentages may not add up to 100%. SEC regulations allow us to withhold a certain amount of holdings as proprietary information."
